actor_id,actor_name,actor_class,origin_type,actor_review_status,resolved_registry_source_ref_count,unresolved_registry_source_ref_count,active_issue_edge_count,active_e3plus_issue_edge_count,own_website_status,english_material_capacity,staff_capacity,legal_support_capacity,lifecycle_status_for_h1,research_status,display_tier,claim_status,review_status,interpretation_limit
A107,沖縄YWCA,womens_organization,okinawa_local,human_checked,2,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A108,沖縄を再び戦場にさせない県民の会,citizen_network,okinawa_local,human_checked,3,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A109,第4次嘉手納基地爆音差止訴訟弁護団,lawyers_network,okinawa_local,human_checked,4,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A110,辺野古に基地を絶対つくらせない大阪行動,citizen_group,japan_domestic,human_checked,2,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A111,沖縄県女性団体連絡協議会,womens_organization,okinawa_local,human_checked,6,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A112,宮古島地下水研究会,citizen_group,okinawa_local,human_checked,6,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A113,宜野湾ちゅら水会,citizen_group,okinawa_local,human_checked,7,0,5,5,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A114,全日本港湾労働組合沖縄地方本部,labor_union,okinawa_local,human_checked,6,0,5,5,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A115,新日本婦人の会沖縄県本部,womens_organization,okinawa_local,human_checked,5,0,5,5,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X001,USO Okinawa,base_community_service_actor,us_origin,ai_seeded,0,1,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X002,Phoenix Corporation / Phoenix Park Hotel,local_business_sponsor,corporate,ai_seeded,0,1,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X003,American Engineering Corporation AEC,corporate_sponsor,corporate,ai_seeded,0,1,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),base_spouse_charity_network,us_origin,human_revised,6,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X005,Naval Officers' Spouses' Club of Okinawa NOSCO,base_spouse_club,us_origin,human_checked,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X006,Kadena Officers' Spouses' Club KOSC,base_spouse_club,us_origin,human_checked,2,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X007,Okinawa Enlisted Spouses' Club (OESC),base_spouse_club,us_origin,human_checked,3,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X008,American Red Cross Okinawa,base_community_service_actor,us_origin,ai_seeded,0,1,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X009,Navy-Marine Corps Relief Society Okinawa,base_community_service_actor,us_origin,ai_seeded,0,1,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X010,沖縄NGOセンター,local_international_cooperation_ngo,okinawa_local,ai_seeded,0,1,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X011,JICA沖縄,public_institution_partner,public_institution,ai_seeded,0,1,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X012,TOMODACHI Initiative,public_diplomacy_or_exchange_actor,mixed_or_network,ai_seeded,0,1,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X013,U.S. Consulate General Naha Okinawa Youth Council Program,public_diplomacy_grant_program,us_origin,human_checked,4,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X014,NED National Endowment for Democracy,funder_or_intermediary,us_origin,human_checked,2,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X015,Peace Winds Japan,international_ngo,japan_domestic,human_checked,2,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),base_spouse_club,us_origin,human_checked,4,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
X017,Army Community Group of Okinawa (ACGO),base_spouse_club,us_origin,needs_second_source,3,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
