flow_observation_id,provider_case,source_actor_id,source_actor_name,target_id,target_name,target_kind,period_start,period_end,event_date,amount,currency,amount_semantics,resource_type,purpose,reporting_layer,reconciliation_component,dedupe_group_id,dedupe_status,included_as_relation_candidate,endpoint_identity_status,transaction_closure,source_receipt_ids,source_anchor_ids,exact_locator,evidence_level,review_status,fact_status,leg_layer,allowed_claim,prohibited_inference
RF036,MOSCO,X016,Marine Officers' Spouses' Club Okinawa (MOSCO),AGG_MOSCO_PROGRAM_CATEGORY,"DONATIONS TO AN AMERICAN 501(C)(3) ORGANIZATION THAT ISSUES GRANTS TO JAPANESE CHARITIES LOCATED IN OKINAWA THAT BENEFIT HUNDREDS OF LOCAL ELDERLY, PHYSICALLY AND MENTALLY CHALLENGED INDIVIDUALS, ORPHANS, AND OTHER DISADVANTAGED INDIVIDUALS.",program_category_no_named_endpoint,2022-06-01,2023-05-31,,3950,USD,990ez_program_service_grants_and_allocations,grant_category,"DONATIONS TO AN AMERICAN 501(C)(3) ORGANIZATION THAT ISSUES GRANTS TO JAPANESE CHARITIES LOCATED IN OKINAWA THAT BENEFIT HUNDREDS OF LOCAL ELDERLY, PHYSICALLY AND MENTALLY CHALLENGED INDIVIDUALS, ORPHANS, AND OTHER DISADVANTAGED INDIVIDUALS.",program_service_category,yes,MOSCO-2023-05-31-GRANTS,component_of_grant_line_total,no_unnamed_endpoint,aggregate_not_actor,category_only,W2A-SR006,,official XML ProgramSrvcAccomplishmentGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports this program-service grant category and amount.,The unnamed American 501(c)(3) is not automatically crosswalked to AWWA.
RF037,MOSCO,X016,Marine Officers' Spouses' Club Okinawa (MOSCO),AGG_MOSCO_PROGRAM_CATEGORY,"DONATIONS MADE TO AMERICAN CHARITABLE ACTIVITIES AND GROUPS LOCATED IN OKINAWA, JAPAN, INCLUDING THE SPONSORING OF FPO/APO MIDDLE SCHOOL AND HIGH SCHOOL SPORTS TEAMS AND CLUBS.",program_category_no_named_endpoint,2022-06-01,2023-05-31,,3950,USD,990ez_program_service_grants_and_allocations,grant_category,"DONATIONS MADE TO AMERICAN CHARITABLE ACTIVITIES AND GROUPS LOCATED IN OKINAWA, JAPAN, INCLUDING THE SPONSORING OF FPO/APO MIDDLE SCHOOL AND HIGH SCHOOL SPORTS TEAMS AND CLUBS.",program_service_category,yes,MOSCO-2023-05-31-GRANTS,component_of_grant_line_total,no_unnamed_endpoint,aggregate_not_actor,category_only,W2A-SR006,,official XML ProgramSrvcAccomplishmentGrp[2],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports this program-service grant category and amount.,The unnamed American 501(c)(3) is not automatically crosswalked to AWWA.
RF038,MOSCO,X016,Marine Officers' Spouses' Club Okinawa (MOSCO),AGG_MOSCO_PROGRAM_CATEGORY,"DONATIONS TO AN AMERICAN 501(C)(3) ORGANIZATION THAT ISSUES GRANTS TO JAPANESE CHARITIES LOCATED IN OKINAWA THAT BENEFIT HUNDREDS OF LOCAL ELDERLY, PHYSICALLY AND MENTALLY CHALLENGED INDIVIDUALS, ORPHANS, AND OTHER DISADVANTAGED INDIVIDUALS.",program_category_no_named_endpoint,2023-06-01,2024-05-31,,5500,USD,990ez_program_service_grants_and_allocations,grant_category,"DONATIONS TO AN AMERICAN 501(C)(3) ORGANIZATION THAT ISSUES GRANTS TO JAPANESE CHARITIES LOCATED IN OKINAWA THAT BENEFIT HUNDREDS OF LOCAL ELDERLY, PHYSICALLY AND MENTALLY CHALLENGED INDIVIDUALS, ORPHANS, AND OTHER DISADVANTAGED INDIVIDUALS.",program_service_category,yes,MOSCO-2024-05-31-GRANTS,component_of_grant_line_total,no_unnamed_endpoint,aggregate_not_actor,category_only,W2A-SR007,,official XML ProgramSrvcAccomplishmentGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports this program-service grant category and amount.,The unnamed American 501(c)(3) is not automatically crosswalked to AWWA.
RF039,MOSCO,X016,Marine Officers' Spouses' Club Okinawa (MOSCO),AGG_MOSCO_PROGRAM_CATEGORY,"DONATIONS MADE TO AMERICAN CHARITABLE ACTIVITIES AND GROUPS LOCATED IN OKINAWA, JAPAN, INCLUDING THE SPONSORING OF FPO/APO MIDDLE SCHOOL AND HIGH SCHOOL SPORTS TEAMS AND CLUBS.",program_category_no_named_endpoint,2023-06-01,2024-05-31,,3000,USD,990ez_program_service_grants_and_allocations,grant_category,"DONATIONS MADE TO AMERICAN CHARITABLE ACTIVITIES AND GROUPS LOCATED IN OKINAWA, JAPAN, INCLUDING THE SPONSORING OF FPO/APO MIDDLE SCHOOL AND HIGH SCHOOL SPORTS TEAMS AND CLUBS.",program_service_category,yes,MOSCO-2024-05-31-GRANTS,component_of_grant_line_total,no_unnamed_endpoint,aggregate_not_actor,category_only,W2A-SR007,,official XML ProgramSrvcAccomplishmentGrp[2],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports this program-service grant category and amount.,The unnamed American 501(c)(3) is not automatically crosswalked to AWWA.
RF040,MOSCO,X016,Marine Officers' Spouses' Club Okinawa (MOSCO),AGG_MOSCO_PROGRAM_CATEGORY,"AWARDING SCHOLARSHIPS TO FAMILY MEMBERS OF THE U.S. ARMED FORCES AND CIVILIAN EMPLOYEEES ATTACHED TO U.S. MARINE INSTALLATIONS IN OKINAWA, JAPAN.",program_category_no_named_endpoint,2023-06-01,2024-05-31,,13000,USD,990ez_program_service_grants_and_allocations,grant_category,"AWARDING SCHOLARSHIPS TO FAMILY MEMBERS OF THE U.S. ARMED FORCES AND CIVILIAN EMPLOYEEES ATTACHED TO U.S. MARINE INSTALLATIONS IN OKINAWA, JAPAN.",program_service_category,yes,MOSCO-2024-05-31-GRANTS,component_of_grant_line_total,no_unnamed_endpoint,aggregate_not_actor,category_only,W2A-SR007,,official XML ProgramSrvcAccomplishmentGrp[3],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports this program-service grant category and amount.,The unnamed American 501(c)(3) is not automatically crosswalked to AWWA.
RF041,MOSCO,X016,Marine Officers' Spouses' Club Okinawa (MOSCO),X004,American Welfare & Works Association (AWWA),named_in_program_description,2024-06-01,2025-05-31,,7500,USD,program_service_expense_not_payment,program_activity_expense,"SUPPORT THE AMERICAN WELFARE AND WORKS ASSOCIATION (AWWA), WHICH DISTRIBUTES GRANTS FOR YOUTH PROGRAMS, ELDER CARE, DISABILITY SERVICES, AND LOCAL WELFARE INITIATIVES",program_service_description,no,MOSCO-2025-05-31-PROGRAM,not_a_grant_component_grant_field_absent,no_semantics_deferred,named_but_payment_semantics_unresolved,not_a_dyadic_flow,W2A-SR008,,official XML ProgramSrvcAccomplishmentGrp[1],official_irs_xml,needs_human_semantic_review,research_only_held_not_relation,LEG0,The filing describes a program supporting AWWA and reports a program-service expense; it does not report a grant amount.,"Do not treat the USD 7,500 program expense as money paid to AWWA or turn a missing grants element into zero."
RF042,MTS,X018,Marine Thrift Shop Okinawa,UNITEMIZED_OR_UNPARSED,unitemized or unparsed grant remainder,reconciliation_residual,2023-01-01,2023-12-31,,27796,USD,computed_residual_of_official_grant_line,unitemized_grant_remainder,reconciliation only,derived_residual,yes,MTS-2023-12-31-GRANTS,fills_to_grant_line_total,no_unknown_endpoint,unknown,not_closed,W2A2-SR001,,grant line minus admitted filing components,derived_from_official_irs_xml,ai_seeded,research_only_derived_reconciliation,LEG0,This residual is the part of the official grant line not itemized by admitted component rows.,"It is not a recipient, a dyadic flow or evidence that the remainder went to Okinawa organizations."
RF043,MTS,X018,Marine Thrift Shop Okinawa,UNITEMIZED_OR_UNPARSED,unitemized or unparsed grant remainder,reconciliation_residual,2024-01-01,2024-12-31,,33614,USD,computed_residual_of_official_grant_line,unitemized_grant_remainder,reconciliation only,derived_residual,yes,MTS-2024-12-31-GRANTS,fills_to_grant_line_total,no_unknown_endpoint,unknown,not_closed,W2A2-SR002,,grant line minus admitted filing components,derived_from_official_irs_xml,ai_seeded,research_only_derived_reconciliation,LEG0,This residual is the part of the official grant line not itemized by admitted component rows.,"It is not a recipient, a dyadic flow or evidence that the remainder went to Okinawa organizations."
RF044,NOSCO,X005,Naval Officers' Spouses' Club of Okinawa (NOSCO),UNITEMIZED_OR_UNPARSED,unitemized or unparsed grant remainder,reconciliation_residual,2022-07-01,2023-06-30,,54,USD,computed_residual_of_official_grant_line,unitemized_grant_remainder,reconciliation only,derived_residual,yes,NOSCO-2023-06-30-GRANTS,fills_to_grant_line_total,no_unknown_endpoint,unknown,not_closed,W2A-SR009,,grant line minus admitted filing components,derived_from_official_irs_xml,ai_seeded,research_only_derived_reconciliation,LEG0,This residual is the part of the official grant line not itemized by admitted component rows.,"It is not a recipient, a dyadic flow or evidence that the remainder went to Okinawa organizations."
RF045,OESC,X007,Okinawa Enlisted Spouses' Club (OESC),UNITEMIZED_OR_UNPARSED,unitemized or unparsed grant remainder,reconciliation_residual,2022-07-01,2023-06-30,,54714,USD,computed_residual_of_official_grant_line,unitemized_grant_remainder,reconciliation only,derived_residual,yes,OESC-2023-06-30-GRANTS,fills_to_grant_line_total,no_unknown_endpoint,unknown,not_closed,W2A-SR012,,grant line minus admitted filing components,derived_from_official_irs_xml,ai_seeded,research_only_derived_reconciliation,LEG0,This residual is the part of the official grant line not itemized by admitted component rows.,"It is not a recipient, a dyadic flow or evidence that the remainder went to Okinawa organizations."
RF046,OESC,X007,Okinawa Enlisted Spouses' Club (OESC),UNITEMIZED_OR_UNPARSED,unitemized or unparsed grant remainder,reconciliation_residual,2023-07-01,2024-06-30,,62949,USD,computed_residual_of_official_grant_line,unitemized_grant_remainder,reconciliation only,derived_residual,yes,OESC-2024-06-30-GRANTS,fills_to_grant_line_total,no_unknown_endpoint,unknown,not_closed,W2A-SR013,,grant line minus admitted filing components,derived_from_official_irs_xml,ai_seeded,research_only_derived_reconciliation,LEG0,This residual is the part of the official grant line not itemized by admitted component rows.,"It is not a recipient, a dyadic flow or evidence that the remainder went to Okinawa organizations."
RF047,OESC,X007,Okinawa Enlisted Spouses' Club (OESC),UNITEMIZED_OR_UNPARSED,unitemized or unparsed grant remainder,reconciliation_residual,2024-07-01,2025-06-30,,34526,USD,computed_residual_of_official_grant_line,unitemized_grant_remainder,reconciliation only,derived_residual,yes,OESC-2025-06-30-GRANTS,fills_to_grant_line_total,no_unknown_endpoint,unknown,not_closed,W2A-SR014,,grant line minus admitted filing components,derived_from_official_irs_xml,ai_seeded,research_only_derived_reconciliation,LEG0,This residual is the part of the official grant line not itemized by admitted component rows.,"It is not a recipient, a dyadic flow or evidence that the remainder went to Okinawa organizations."
RF048,MTS,X018,Marine Thrift Shop Okinawa,AGG_MTS_2023,American and Japanese recipients (aggregate),mixed_aggregate,2023-01-01,2023-12-31,,126000,USD,minimum_more_than,cash_and_or_in_kind_aggregate,"over USD 126,000 in 2023",official_military_public_affairs,no,MTS-2023-NARRATIVE,overlap_with_MTS_2023_grant_line_do_not_add,no_aggregate_or_overlap,aggregate_or_program,narrative_aggregate_only,W2A2-SR018,,DVIDS 2024-02-22 article / MTS grants page,E4_source_bounded,ai_seeded,research_only_narrative_observation,LEG0,The cited source reports this source-bounded amount or aggregate.,"Do not add this observation to IRS grant totals, infer final beneficiaries, political stance or a legitimation effect."
RF049,MTS,X018,Marine Thrift Shop Okinawa,AGG_MTS_JAPAN_2023,local Japanese community (aggregate),recipient_bucket,2023-01-01,2023-12-31,,32606,USD,reported_subtotal,community_support_aggregate,local Japanese community subtotal,official_military_public_affairs,no,MTS-2023-NARRATIVE,subset_of_annual_aggregate_possible_AWWA_overlap,no_aggregate_or_overlap,aggregate_or_program,narrative_aggregate_only,W2A2-SR018,,DVIDS 2024-02-22 article / MTS grants page,E4_source_bounded,ai_seeded,research_only_narrative_observation,LEG0,The cited source reports this source-bounded amount or aggregate.,"Do not add this observation to IRS grant totals, infer final beneficiaries, political stance or a legitimation effect."
RF050,MTS,X018,Marine Thrift Shop Okinawa,AGG_MTS_SCHOLAR_2023,military-affiliated scholarship recipients,individual_aggregate,2023-01-01,2023-12-31,,12000,USD,reported_subtotal,scholarships,scholarships,official_military_public_affairs,no,MTS-2023-NARRATIVE,overlaps_MTS_2023_schedule_i_individual_group,no_aggregate_or_overlap,aggregate_or_program,narrative_aggregate_only,W2A2-SR018,,DVIDS 2024-02-22 article / MTS grants page,E4_source_bounded,ai_seeded,research_only_narrative_observation,LEG0,The cited source reports this source-bounded amount or aggregate.,"Do not add this observation to IRS grant totals, infer final beneficiaries, political stance or a legitimation effect."
RF051,MTS,X018,Marine Thrift Shop Okinawa,SMP,Single Marine Program,installation_program,2023-01-01,2023-12-31,,3000,USD,reported_subtotal,program_support,battle-site tours,official_military_public_affairs,no,MTS-2023-NARRATIVE,subset_of_annual_aggregate,no_aggregate_or_overlap,aggregate_or_program,narrative_aggregate_only,W2A2-SR018,,DVIDS 2024-02-22 article / MTS grants page,E4_source_bounded,ai_seeded,research_only_narrative_observation,LEG0,The cited source reports this source-bounded amount or aggregate.,"Do not add this observation to IRS grant totals, infer final beneficiaries, political stance or a legitimation effect."
RF052,MTS,X018,Marine Thrift Shop Okinawa,DODEA_PTO,DoDEA Okinawa PTOs,organization_aggregate,2023-01-01,2023-12-31,,13000,USD,reported_subtotal,school_support,PTO starter funds,official_military_public_affairs,no,MTS-2023-NARRATIVE,possible_overlap_with_named_Kubasaki_and_annual_aggregate,no_aggregate_or_overlap,aggregate_or_program,narrative_aggregate_only,W2A2-SR018,,DVIDS 2024-02-22 article / MTS grants page,E4_source_bounded,ai_seeded,research_only_narrative_observation,LEG0,The cited source reports this source-bounded amount or aggregate.,"Do not add this observation to IRS grant totals, infer final beneficiaries, political stance or a legitimation effect."
RF053,MTS,X018,Marine Thrift Shop Okinawa,ASHIBINA_CDC,Ashibina Child Development Center families,program_beneficiary_group,2023-01-01,2023-12-31,,350,USD,reported_in_kind_value,in_kind_support,diapers and wipes,official_military_public_affairs,no,MTS-2023-NARRATIVE,subset_of_annual_aggregate_in_kind_not_cash,no_aggregate_or_overlap,aggregate_or_program,narrative_aggregate_only,W2A2-SR018,,DVIDS 2024-02-22 article / MTS grants page,E4_source_bounded,ai_seeded,research_only_narrative_observation,LEG0,The cited source reports this source-bounded amount or aggregate.,"Do not add this observation to IRS grant totals, infer final beneficiaries, political stance or a legitimation effect."
RF054,MTS,X018,Marine Thrift Shop Okinawa,LIONS_OKINAWA,"Lions Clubs International, Okinawa intermediary",organization_intermediary,,,2024-02-22,10000,USD,reported_cash_transfer,donation_via_intermediary,children with medical and special-education needs,official_military_public_affairs,no,MTS-2024-LIONS,possible_component_of_MTS_2024_unitemized_grant_remainder,yes_pending_downstream_closure,named_intermediary_final_recipients_aggregate,provider_to_intermediary_only,W2A2-SR018;W2A2-SR019,,DVIDS 2024-02-22 article / MTS grants page,E4_source_bounded,ai_seeded,research_only_narrative_observation,LEG0,The cited source reports this source-bounded amount or aggregate.,"Do not add this observation to IRS grant totals, infer final beneficiaries, political stance or a legitimation effect."
RF055,MTS,X018,Marine Thrift Shop Okinawa,AGG_MTS_SELF_2023,organizations in and around Okinawa (self-page aggregate),mixed_aggregate,2023-01-01,2023-12-31,,110000,USD,minimum_more_than,grant_aggregate,"self-page says over USD 110,000",organization_self_report,no,MTS-2023-NARRATIVE,definition_conflict_with_DVIDS_126k_do_not_choose_or_add,no_aggregate_or_overlap,aggregate_or_program,narrative_aggregate_only,W2A2-SR016,,DVIDS 2024-02-22 article / MTS grants page,E4_source_bounded,ai_seeded,research_only_narrative_observation,LEG0,The cited source reports this source-bounded amount or aggregate.,"Do not add this observation to IRS grant totals, infer final beneficiaries, political stance or a legitimation effect."
