claim_id,report_locator,module,claim_type,claim_text,report_excerpt,report_cited_source_ids,audit_support_source_ids,audit_support_formal_tables,evidence_level_or_layer,review_layer,source_id_check,formal_table_check,numeric_check_status,reported_value,verified_value,publish_status,limitations,audit_note,hr031_group
RCA022,L068;P026,R02/R06,interpretive_synthesis,Four proposed translation chains connect base construction to ecology/legal/international channels; burden to safety/legal channels; deployment to autonomy/referendum/frontline risk; and peace to domestic/transnational voice.,第一条转译链是“基地建设—生态／生物多样性—法律与国际程序”。边野古和大浦湾的儒艮、珊瑚与海洋生态材料，使地方建设争议能够进入环境影响评价、美国法律程序、国际 NGO 声明及美国联邦机构请求等不同场域。第二条是“基地负担—生活安全—法律程序”，在嘉手纳和普天间的噪音、城市风险及原告团材料中更明显。第三条是“军事部署—地方自治／住民投票—前线与避难风险”，在名护、石垣和与那国的公投或意见广告事件中呈现。第四条是“反战／和平—国内与跨国共同发声”，其可观察形式包括共同声明和共同要请。,,,outputs/R01_R02_actor_issue_v1/issue_cooccurrence_v1.csv;outputs/R06_R07_R11_pathways_v1/r06_pathway_comparison_v0.csv,mixed candidate/human,interpretive synthesis,pass,pass,not_applicable,,,revise,"Publish as a sample-derived analytic frame, not a verified causal sequence.",,translation
RCA023,L070;P027,R02,quantitative,"R2 has 118 actors × 26 issues, 101 connected actors, 17 isolates, and 222 edges split 59 human-reviewed／163 candidate.",R2 完整层把全部 118 actors 与 26 issues 保留在同一二模结构中。101 个 actor 具有至少一条进入中央候选／人审混合表的 actor–issue edge，17 个 actor 仍是议题孤立节点；它们虽然在 registry 中有 `issue_tags`，但标签不能自动变成 edge，必须回到来源补 actor、议题和关系依据。222 条 edge 中，59 条已有人工复核，163 条仍是候选；按解释范围暂分为长期组织定位 43、制度／案件角色 40、事件性出现 74 和范围未决 65。,,,outputs/R01_R02_actor_issue_v1/validation_metrics_v1.csv,mixed candidate/human,mechanical audit,pass,pass,match,"{""actors"":118,""candidate"":163,""connected"":101,""edges"":222,""human"":59,""isolated"":17,""issues"":26}","{""actors"":118,""candidate"":163,""connected"":101,""edges"":222,""human"":59,""isolated"":17,""issues"":26}",safe,,,
RCA024,L070;P027,R02,quantitative,"Actor–issue scopes are 43 organizational positioning, 40 institutional/case, 74 event-specific and 65 undecided.",R2 完整层把全部 118 actors 与 26 issues 保留在同一二模结构中。101 个 actor 具有至少一条进入中央候选／人审混合表的 actor–issue edge，17 个 actor 仍是议题孤立节点；它们虽然在 registry 中有 `issue_tags`，但标签不能自动变成 edge，必须回到来源补 actor、议题和关系依据。222 条 edge 中，59 条已有人工复核，163 条仍是候选；按解释范围暂分为长期组织定位 43、制度／案件角色 40、事件性出现 74 和范围未决 65。,,,data/interim/07_actor_issue_edges_initial_v0.csv;outputs/R01_R02_actor_issue_v1/cross_issue_actors_v1.csv,mixed candidate/human,R1/R2 analytical classification,pass,pass,match,"{""case"":40,""event"":74,""positioning"":43,""undecided"":65}","{""case"":40,""event"":74,""positioning"":43,""undecided"":65}",safe,Scope values are analytical and remain partly human-pending.,,
RCA025,L072;P028,R02,quantitative,"72 actors are multi-issue, 16 are double-human-reviewed, and 10 are positioning bridges.",这个分层改变了“桥梁组织”的读法。72 个 actor 连接至少两个议题，但只有 16 个 actor 在至少两个议题上均有双侧人审证据；当前可暂列长期定位型 bridge 的只有 10 个。议题共现最高的组合包括 `anti_base × peace`（12 个共享 actor）、`anti_base × Henoko`（9）、`anti_base × biodiversity`（8）、`anti_base × legal`（8），以及生活安全、法律与噪音之间的组合（各 6）。A111 的加入提高了女性／人权与和平／反基地之间的可见连接，但这些数字只描述同一 actor 的议题组合，不代表 actor 之间结盟，也不能用节点度数替代组织影响力。,,,outputs/R01_R02_actor_issue_v1/cross_issue_actors_v1.csv;outputs/R01_R02_actor_issue_v1/validation_metrics_v1.csv,mixed candidate/human,mechanical audit,pass,pass,match,"{""double_human"":16,""multi_issue"":72,""positioning"":10}","{""double_human"":16,""multi_issue"":72,""positioning"":10}",safe,Bridge degree is not influence or alliance.,,
RCA026,L074;P029,R01/R02,review_queue,"HR-019 controls 9 classification rules, 30 bridge actors and 65 undecided edge scopes.",因此，旧 bridge shortlist 仍可用于补证和案例选择，但正式正文优先使用双侧人审的机制型 bridge，并区分三种路径：生态／生物多样性进入边野古与国际法律；噪音／生活安全进入原告团和律师网络；和平／人权／自治进入声明、组织使命和制度渠道。完整图已回填 `TODO-VIS-02`；冻结前仍需 HR-019 审 9 个分类规则、30 个 bridge actor 和 65 条范围未决 edge。,,,outputs/R01_R02_actor_issue_v1/HR019/,review queue,pending HR-019,pass,pass,not_applicable,,,safe,,,
RCA027,L080;P032,R05,event_participation,"The three public lists contain 67, 31 and 71 participants; list participation does not prove a durable alliance.",旧地点—议题矩阵曾显示边野古／大浦湾与生态、基地和国际路径的高密度组合，但该图把同一 actor 的全部地点边和全部议题边作宽投影，不要求两者来自同一来源、同一事件或同一时期，故已退役，不能用于正式地点差异推论。能够保留的是有共同文本锚点的案例事实：2010 年 WWF Japan 的 67 团体共同声明（S003）、2015 年 NACSJ／Peace Boat 的 31 NGO 紧急共同声明（S004）、2020 年 OEJP 向美国海洋哺乳动物委员会相关渠道提出的 71 团体请求（S006），分别在具名文本中同时锚定边野古／大浦湾、生态议题和公开行动角色。这些材料说明环保语言可以进入日本国内与跨国组织场域；它们仍只证明特定年份、特定文本中的共同发声或请求参与，不证明 67、31 或 71 个组织构成持续联盟。正式 MA002 将只使用同一来源或同一事件的 actor–place–issue 三元事实。,S003;S004;S006,S003;S004;S006,data/interim/25_coaction_event_participation_v0.csv;outputs/R05_coaction_v1/event_catalog_v0.csv,E3/E4 event evidence,HR-015 + formal list extraction,pass,pass,match,"{""2010_total"":67,""2015_total"":31,""2020_total"":71,""total"":169}","{""2010_total"":67,""2015_total"":31,""2020_total"":71,""total"":169}",safe,"Participant counts are source-list counts, not membership counts.",,
RCA028,L082;P033,R08,case_role,"CBD, TIRN, JELF and Save the Dugong Foundation are plaintiffs; Earthjustice is counsel; A002 and A019 are non-parties.",美国 NHPA 诉讼进一步展示了法律路径的角色分化。法院材料和组织法律资料确认 Center for Biological Diversity（A045）、Turtle Island Restoration Network（A086）、日本环境法律家联盟 JELF（A020）和 Save the Dugong Foundation（A076）为具名原告，Earthjustice（A009）为原告方律师（S009、S060—S062、S093）。SDCC（A002）是倡议组织但不是该案原告；ヘリ基地反対協議会（A019）也不是组织层面的诉讼当事方。这个区分说明：现场运动、环境倡议、原告身份和法律代理必须分开编码，不能用一条笼统“合作边”替代。,S009;S060;S061;S062;S093,S009;S060;S061;S062;S093,data/interim/18_legal_policy_actor_roles_v0.csv,E4,HR-014 human_checked,pass,pass,not_applicable,,,safe,Roles are case-specific.,,
RCA029,L086;P035,R02/R08,candidate_role,"A052/A053 have human-checked noise edges; anti-base, legal and life-safety connections remain candidate hypotheses.",嘉手纳和普天间的当前画像主要由噪音、生活／健康安全、城市风险和法律诉讼构成。嘉手納基地爆音差止訴訟原告団（A052）与普天間基地爆音訴訟団（A053）的 `noise` 连接已经人审；它们在桥接清单中另与 `anti_base`、`legal`、`life_safety` 相连的部分仍是候选议题边。因此，当前材料支持把噪音损害与司法程序作为两地的核心解释入口，而“生活安全—法律—反基地”的完整桥接仍应作为待复核假设，不能直接当成已冻结组织定位。,,,data/interim/07_actor_issue_edges_initial_v0.csv;data/interim/18_legal_policy_actor_roles_v0.csv,E4 mixed candidate/human,actor–issue mixed layer,pass,pass,not_applicable,,,safe,The report now makes the human/candidate split explicit.,,
RCA030,L088;P036,R07/R08,layer_status,"The heterogeneous layer includes reviewed legal-role rows and six legal action units, while central AEV is not a full lawsuit timeline.",HR-012／014 已使本报告能够比较各轮诉讼的原告规模、组织持续性和判决路径。R5/R7 异质行动包现已纳入噪音诉讼的人审案件角色，并把 44 条法律相关观察压缩为 7 个法律行动单元；但中央 AEV 仍不是完整诉讼时间线。因此这里能做的是案件、角色和行动语法比较，不能被误读为完整的跨案件网络测量或运动频率统计。,,,outputs/R05_R07_heterogeneous_repertoire_v1/input_layer_audit_v1.csv;outputs/R05_R07_heterogeneous_repertoire_v1/repertoire_event_action_venue_units_v1.csv,formal reused rows,mechanical consistency check,pass,pass,not_applicable,,,safe,The report distinguishes action-grammar comparison from a complete event timeline.,,
RCA031,L090;P037,R08,case_outcome,"A052/A053 litigation rounds, counsel roles and bounded outcomes are separated and human-checked.",HR-012 已把诉讼轮次与持续组织分开：嘉手纳第4次原告团是 A052 的 `round_of`，普天间第2次原告团是 A053 的 `round_of`，都不另建 actor。A109 是嘉手纳第4次案件律师团并以 `legal_counsel` 连到 A052；A104 以同类角色连到 A053。HR-014 又确认第三次嘉手纳的禁止请求／未来损害被驳回、过去噪音损害赔偿维持，以及普天间案件的部分赔偿／其余驳回。由此可以比较“损害违法性与赔偿得到承认”同“运行禁止仍难获得”并存的制度效果，但不能把不同轮次、个人原告和律师团视为固定同一网络。,,,data/interim/17_legal_policy_procedure_cases_v0.csv;data/interim/18_legal_policy_actor_roles_v0.csv,E4,HR-012/014 human_checked,pass,pass,not_applicable,,,safe,"Do not merge rounds, individuals and counsel teams into one stable network.",,
RCA032,L094;P039,R09,procedural_role,"A011 is a referendum requester, not a named plaintiff; S051 is rejected and S020 is corrected to 2016.",石垣现有材料显示，自卫队部署争议与住民投票、地方自治以及水源／生活安全线索交叉。地方报道、法院判决和市级记录支持石垣市住民投票を求める会（A011）在 2018—2019 年公投推动中的 requester 角色（S018、S019、S137、S138）；组织不是 2020 年诉讼中的具名原告。原先使用的 S051 已因归档域名实际指向无关旅游网站而撤销，不能再支撑组织身份、持续性或解散信息。宫古则在候选数据中连接导弹／弹药库、地下水和生活安全。W1 已恢复 S020 的真实琉球新报 URL，并把年份从错误占位值 2018 修正为 2016；该报道确认 6 月 11 日市民集会以地下水保全和阻止陆自部署为议题，但只支持事件执行委员会身份，不能据此确认 A012 是持续存在的法人或常设组织。,S018;S019;S020;S051;S137;S138,S018;S019;S020;S051;S137;S138,outputs/R09_referendum_process_v0/actor_process_roles_v0.csv;data/interim/05_source_log_initial_v0.csv,E3/E4,HR-014 + source correction,pass,pass,not_applicable,,,safe,Event committee identity cannot establish a persistent organization.,,
RCA033,L098;P041,R04,quantitative,R4 formal entity facts include Miyako 2 and Ishigaki 4; the Miyako committee crosswalk remains HR-016.,R4 安全层把这一区分推进为可复核比较：宫古 2 条正式事实主要支撑地下水／饮用水作为生活条件及国民保护／撤离制度；石垣 4 条事实显示自治／公投程序同撤离中的医疗、交通、补偿和残留人员问题相连。宫古 6・11 集会执行委员会与 A012／其他地下水组织的 crosswalk 仍在 HR-016，不能把事件主体自动改写成持续组织。,,,outputs/R04_sakishima_frame_corpus_v0/entity_frame_safe_matrix_v0.csv;outputs/R04_sakishima_frame_corpus_v0/hr016_review_items_v0.csv,E3/E4 safe facts,R4 safe layer + HR-016 boundary,pass,pass,match,"{""Ishigaki"":4,""Miyako"":2}","{""Ishigaki"":4,""Miyako"":2}",safe,,,
RCA034,L100;P042,R04,bounded_interpretation,"Sakishima deployment disputes show autonomy and life-safety frames, but no homogeneous Ishigaki/Miyako organization network is established.",因此，一期目前可以说“先岛部署争议出现了自治和生活安全框架”，但不能说石垣与宫古已经形成同构的组织网络，也不能把未完成主体 crosswalk 的地下水事件当作某一常设组织的确认事实。,,,outputs/R04_sakishima_frame_corpus_v0/entity_frame_safe_matrix_v0.csv,E3/E4 safe facts,bounded synthesis,pass,pass,not_applicable,,,safe,No resident-prevalence or network-isomorphism claim.,,
RCA035,L104;P044,R04,organization_identity,"The 2015 referendum is well-sourced, while A014/A015 organization identities remain E2.",与那国距离台湾近，其公开争议更适合从自卫队部署、台湾周边安全环境、地方自治、住民投票以及健康／生活安全来理解，不应为了与边野古比较而强行置入环境阻止框架。QAB 等主流报道确认 2015 年自卫队配备住民投票及其结果（S010），但“住民投票を成功させるための実行委員会”（A014）的组织定名、代表和持续性仍主要依赖 E2 材料（S069）。2012 年“与那国自衛隊配備反対意見広告実行委員会”（A015）目前只有党派媒体点名（S015），同样保持 E2。,S010;S015;S069,S010;S015;S069,data/interim/01_actor_registry_initial_v0.csv;outputs/R04_sakishima_frame_corpus_v0/online_evidence_safe_sources_v0.csv,event E4; organizations E2,HR-003 boundary,pass,pass,not_applicable,,,safe,Do not infer committee structure from event occurrence.,,
RCA036,L108;P046,R04,quantitative,"Yonaguni safe-source counts are frontline 6, autonomy 2, life-safety 2 and direct environment–deployment 0; 11 entity facts split 2 registry-actor and 9 institutional facts.",R4 的三地安全来源图中，与那国的前线／台湾邻近／撤离标签计数为 6，自治／公投和生活安全各为 2；限定语料中的直接环境—部署连接为 0。这个 0 只表示本包没有找到“具名主体＋部署事件＋明确环境对象”的安全直接证据，不能写成“与那国没有环境问题”。更重要的是，11 条正式事实中只有 2 条归属于 2 个 registry actor，另 9 条来自 6 个行政、议会或防卫制度节点。该偏斜说明当前线上可核材料由制度记录主导，而不是民间组织不活跃。,,,outputs/R04_sakishima_frame_corpus_v0/three_place_safe_source_matrix_v0.csv;outputs/R04_sakishima_frame_corpus_v0/entity_frame_safe_matrix_v0.csv,E3/E4 bounded corpus,R4 safe layer,pass,pass,match,"{""autonomy"":2,""environment"":0,""frontline"":6,""life_safety"":2}","{""autonomy"":2,""environment"":0,""frontline"":6,""life_safety"":2}",safe,"Zero means absent from this bounded corpus, not absent in Yonaguni.",,
RCA037,L110;P047,R03,visualization_scope,The selected actor–place figure contains 24 actors and 36 relations from 129 candidate/human edges.,组织—地点补图 `outputs/phase1_visuals_v1/fig2_actor_place_matrix.png` 从 129 条候选／人审边中选择 24 个跨地点或代表性 actor、36 条关系，直接展示边野古／大浦湾、嘉手纳／普天间、石垣／宫古、Camp Foster 与 JICA Okinawa 等场域。圆点按 E2—E4 区分，图注明确候选地点关系不等于常设据点、行动强度或稳定联盟。A111、A107 与 A108 的 P001 关系只表示全县性组织／动员场域，不外推市町级据点；A110→P002 仅表示边野古是本土声援的倡议对象，不表示在地现场存在。与那国因当前可复核 actor—place 证据不足，没有被图形密度夸大；其解释继续以安全环境、自治、公投和生命安全为主。,,,outputs/phase1_visuals_v1/actor_place_matrix_selected.csv,mixed candidate/human,mechanical visualization,pass,pass,not_applicable,,,safe,"A place edge does not establish a permanent site, intensity or alliance.",,
RCA038,L112;P048,R03,quantitative,"R3 semantics: advocacy target 60, site presence 37, institutional venue 6, event site 5, headquarters 4, unclear 17.",R3 空间语义 v1 又把 129 条地点边逐条拆成 60 条倡议／争议对象、37 条持续活动／服务在场、6 条制度／机构场域、5 条事件／程序场域、4 条总部／办公室和 17 条语义未明。最重要的修正是：边野古 45 条关系中有 42 条属于倡议／争议对象，只有 3 条表示某种在场，因此不能把边野古的图形密度读成 45 个组织据点。P001 全县节点与 P002 边野古合计 87/129，也首先表示公开资料与编码容器偏置。语义层本身仍是机器候选；41 条难以机械冻结的 HQ/site/event/target/venue 项进入 HR-025。全量矩阵、关系类型图和与那国／石垣／宫古三地 dossier 已形成；AP123 的 P006 键值在中央地点表指向 Camp Schwab、边表文字却写 Camp Foster，当前显式标错并送人审，没有静默选择其一。,,,data/interim/32_actor_place_semantic_candidates_v1.csv;outputs/R03_spatial_dossier_v1/actor_place_semantic_summary_v1.csv,machine candidate,HR-025 pending for 41 rows,pass,pass,match,"{""advocacy"":60,""event"":5,""hq"":4,""institution"":6,""site"":37,""unclear"":17}","{""advocacy"":60,""event"":5,""hq"":4,""institution"":6,""site"":37,""unclear"":17}",safe,Semantic labels are not yet a fully human-frozen spatial layer.,,
RCA039,L116;P050,R05/R07,quantitative,"AEV has 67 rows: 33 co-signing, 11 request, 12 litigation, 4 referendum, 1 opinion ad, 2 rallies and 4 analytical seeds; 63 are human-checked.",正式 actor—event—venue 表目前有 67 行：`co_signing` 33、`request_letter` 11、`litigation` 12、`referendum` 4、`opinion_ad` 1、`public_rally` 2，另有 4 条 `pathway_role` 分析种子。63 条观察/角色记录为 `human_checked`；A111 与 A108 的县民大会记录只表示有界事件角色，A109 的记录只表示嘉手纳第4次诉讼中的律师团角色，四条 pathway 也明确不是事实性稳定关系。2020 请求中的九个小团体仅以 E2 `unverified_event_participant` 保留，legacy A077–A085 不在 actor registry。该结构比静态“组织关系网”更能保留关系含义。,,,data/interim/09_actor_event_venue_edges_v0.csv,63 human + 4 analytical,HR-015/formal AEV,pass,pass,match,"{""analytical"":4,""co_signing"":33,""human"":63,""litigation"":12,""opinion_ad"":1,""pathway_role"":4,""public_rally"":2,""referendum"":4,""request_letter"":11,""rows"":67}","{""analytical"":4,""co_signing"":33,""human"":63,""litigation"":12,""opinion_ad"":1,""pathway_role"":4,""public_rally"":2,""referendum"":4,""request_letter"":11,""rows"":67}",safe,,,
RCA040,L118;P051,R05,quantitative,"R5 has 169 rows split 63 registry, 84 event-only and 22 alias-pending; per-event identity splits are 16/41/10, 31/0/0 and 16/43/12.",R5 已把三个共同发声样本的原始名单全部结构化：2010 年 WWF 67 团体、2015 年 NACSJ／Peace Boat 31 团体、2020 年 OEJP／MMC 71 团体，共 169 条组织—事件观察。身份层分别为 63 条 registry actor、84 条 event-only name 和 22 条 alias pending；分事件看，2010 为 16／41／10，2015 的 31 条均已映射 registry，2020 为 16／43／12。Event-only 或待定名称不会因名单出现自动进入 registry。2010 原页虽称 67 团体，名单字符串有一处缺分隔符，目前按两组织切分并交 HR020-06 决定，而不是由 AI 终审。,,,data/interim/25_coaction_event_participation_v0.csv;outputs/R05_coaction_v1/event_catalog_v0.csv,formal list observations,HR-020 controls identity ambiguities,pass,pass,match,"{""2010_alias"":10,""2010_event_only"":41,""2010_registry"":16,""2015_alias"":0,""2015_event_only"":0,""2015_registry"":31,""2020_alias"":12,""2020_event_only"":43,""2020_registry"":16,""alias"":22,""event_only"":84,""registry"":63,""total"":169}","{""2010_alias"":10,""2010_event_only"":41,""2010_registry"":16,""2015_alias"":0,""2015_event_only"":0,""2015_registry"":31,""2020_alias"":12,""2020_event_only"":43,""2020_registry"":16,""alias"":22,""event_only"":84,""registry"":63,""total"":169}",safe,Event-only/alias rows do not enter the registry.,,
RCA041,L120;P052,R05/R07,quantitative,The heterogeneous package reuses 148 formal rows to form 39 units across 15 action grammars and 9 venues.,为避免把联署样本误写成整个行动生态，R5/R7 v1 进一步复用 148 条既有人审正式观察，按 `case/event × action × venue` 去重为 39 个行动单元，覆盖 15 类行动／关系语法和 9 类场域。33 条共同署名角色只折叠为 2 个声明事件单元；新增的县民大会与嘉手纳第4次诉讼记录保留其各自行动语法。图件因此同时展示“角色／阶段审计行”和“去重行动单元”，不以表格行数代替行动频率、组织影响力或联盟强度。该包没有新增事实，HR-028 为 0。,,,outputs/R05_R07_heterogeneous_repertoire_v1/input_layer_audit_v1.csv;outputs/R05_R07_heterogeneous_repertoire_v1/repertoire_event_action_venue_units_v1.csv,reused formal rows,mechanical aggregation; HR-028=0,pass,pass,match,"{""actions"":15,""input_rows"":148,""units"":39,""venues"":9}","{""actions"":15,""input_rows"":148,""units"":39,""venues"":9}",safe,Row counts are not event frequency or impact.,,
RCA042,L122;P053,R05,quantitative,"Fifteen actors repeat; registry overlaps are 10 (2010–2015), 8 (2010–2020) and 3 (2015–2020).",严格按当前 registry 身份合并后，15 个 actor 至少出现在两次样本行动中；A002 ジュゴン保護キャンペーンセンター、A004 日本自然保護協会和 A022 ラムサール・ネットワーク日本跨越三次。已确认 registry actor 的两两重叠为 2010–2015 10 个、2010–2020 8 个、2015–2020 3 个。这说明公开可见的连续性集中在少数环保、儒艮、法律和冲绳议题节点；它不证明其余组织没有长期合作，也不把重复出现升级为成员关系、组织隶属或稳定联盟。,,,outputs/R05_coaction_v1/repeat_participation_bridges_v0.csv;outputs/R05_coaction_v1/event_overlap_v0.csv,formal identity layer,HR-020 boundary,pass,pass,match,"{""overlap_2010_2015"":10,""overlap_2010_2020"":8,""overlap_2015_2020"":3,""repeat_actors"":15}","{""overlap_2010_2015"":10,""overlap_2010_2020"":8,""overlap_2015_2020"":3,""repeat_actors"":15}",safe,Repeat appearance is not membership or alliance.,,
RCA043,L124;P054,R05/R08,cross_event_role,JELF and CBD hold different bounded roles across list and litigation events.,事件表还显示，同一 actor 可以在不同场合承担不同角色。例如 JELF（A020）既是 2020 请求参与者，也是儒艮诉讼具名原告；Center for Biological Diversity（A045）出现在 2015 共同声明，也有诉讼原告身份。完整二部图保留每个 source name，重复桥梁图只合并已确认 registry 身份；14 个别名、组织层级与切分问题由 HR-020 控制。三次样本仍集中于边野古／大浦湾—儒艮议题，不能代表复归后全部共同行动。,,,data/interim/25_coaction_event_participation_v0.csv;data/interim/18_legal_policy_actor_roles_v0.csv,E4,formal event/case roles,pass,pass,not_applicable,,,safe,Role transfer across cases is prohibited.,,
RCA044,L126;P055,R06,interpretive_synthesis,"Henoko/Oura internationalization is described as a sequence of issue and role conversions across local knowledge, domestic advocacy/legal actors and US institutions.",边野古／大浦湾国际化路径可暂时解释为“议题和角色在不同场域中的转换”，而不是单一组织链：地方现场与在地生态知识提供议题素材，日本国内环保和法律 actor 把问题表达为儒艮／生物多样性、环境程序和自治问题，具名原告、法律代理和国际倡议 actor 再把这些问题带入美国法院或机构请求。这是基于分散事件和案件角色进行的分析性重建，不证明各阶段之间存在直接因果、持续传递或稳定协作；“连续转换”的措辞强度仍由 HR-031 决定。路径图 `outputs/explanatory_v0/fig_henoko_internationalization_pathway.png` 展示的是公开倡议与制度渠道，不表达资金、指挥或稳定联盟。,,,outputs/R06_R07_R11_pathways_v1/r06_pathway_comparison_v0.csv;outputs/explanatory_v0/,mixed formal + analytical,interpretive synthesis,pass,pass,not_applicable,,,revise,"Make explicit that the ordering is an analytical reconstruction, not causality, command or a stable chain.",,pathway
RCA045,L128;P056,R09,quantitative_procedure,R9 formal layer has 24 accepted stages and 25 accepted roles; reviewed-all adds 9 stages and 9 roles under HR-017.,R9 对名护、与那国、2019 县民投票和石垣四案的正式化进一步显示，自治诉求不是从“组织动员”直接跳到“政策结果”，而要依次经过代表／签名资格、条例议程与问题设计、议会或行政执行、投票或司法可诉性，再进入结果解释。中央正式表现含 24 个 accepted 阶段和 25 个 accepted 角色；reviewed-all 中另外 9 个阶段和 9 个角色进入 HR-017，不属于正式事实。名护说明咨询性投票结果并不自动约束后续行政决定；2019 县民投票说明签名可被转换为县条例、全县实施和对外通知；石垣则显示议会否决后，司法门槛还会把实体诉求转换为程序／适法性问题。该机制页不是公投效果的因果识别。,,,data/interim/20_referendum_process_stages_v0.csv;outputs/R09_referendum_process_v0/actor_process_roles_v0.csv;outputs/R09_referendum_process_v0/process_stages_reviewed_all_v0.csv;outputs/R09_referendum_process_v0/actor_process_roles_reviewed_all_v0.csv,E3/E4,formal accepted + HR-017 separate,pass,pass,match,"{""additional_roles"":9,""additional_stages"":9,""formal_roles"":25,""formal_stages"":24}","{""additional_roles"":9,""additional_stages"":9,""formal_roles"":25,""formal_stages"":24}",safe,Institutional sequence is not causal effect identification.,,
RCA046,L130;P057,R09,candidate_quantitative,"Election candidate layer has 19 observations: endorsement 4, issue action 4, meetings 2, requests 4 and observation/information 5; all need HR-026.",选举侧候选层已覆盖 2014、2018、2022 三次县知事选，共 19 条 actor–event 观察：公开支持 4、议题行动 4、公开会议 2、请求 4、观察／信息 5。它显示市民组织进入选举公共空间并不只有 endorsement，还包括长期议题平台、出马请求、主权者教育、问卷和政策比较。但 19 条全部处于 `needs_human_review`，进入 HR-026 后才可成为正式报告事实；现阶段不能声称组织带来票数、提高投票率、造成胜负或改变政策，也不能把候选人、政党或临时选举协调体放入 NGO registry。,,,data/interim/33_r09_election_civic_events_v1.csv;outputs/R09_election_civic_interface_v1/,candidate,HR-026 pending,pass,pass,match,"{""endorsement"":4,""issue"":4,""meeting"":2,""observation"":5,""request"":4,""rows"":19}","{""endorsement"":4,""issue"":4,""meeting"":2,""observation"":5,""request"":4,""rows"":19}",safe,"No turnout, vote, result or policy-effect claim is permitted.",,
RCA047,L132;P058,R06/R07/R11,quantitative,Pathway floor has 71 formal facts plus 4 analytical seeds; six-case heterogeneous sequence has 17 stages.,R6/R7 的统一底盘再把正式 AEV、R8 人审法律角色和 R10 已人审／修订关系扩为 71 条 actor–event–venue–target／entry-mode 事实，另将 4 条 analytical seed 单独存放。R6 因而可以比较国际法律、国际机构请求、国内环境声援、海外声援、行政协作和公共外交机会六类路径，而不是用一条边野古链代表全部国际化。R7 原三案例小倍图覆盖国际法律、MMC 请求和跨国声明；新异质行动小倍图又加入嘉手纳噪音、公投／司法转向和 OESC→USO 慈善，形成 6 个案例、17 个展示阶段。箭头都只表示正式记录的时间、构成或关系方向，不是因果箭头，也不证明政策效果。,,,data/interim/26_actor_event_venue_target_entry_modes_v0.csv;outputs/R06_R07_R11_pathways_v1/analytical_seeds_v0.csv;outputs/R05_R07_heterogeneous_repertoire_v1/cross_case_sequence_v1.csv,formal + separately labelled analytical,mechanical pathway derivation,pass,pass,match,"{""facts"":71,""seeds"":4}","{""facts"":71,""seeds"":4}",safe,"Arrows indicate time/structure/direction, not causal effect.",,
RCA048,L134;P059,R08,case_outcome,Six cases and 27 accepted roles show differentiated procedural outputs; 13 roles are registered actors and 14 provisional nodes.,R8 六案比较进一步说明，基地与开发争议会依争议对象和可用制度被转译为不同程序问题：边野古／大浦湾的儒艮与生态知识分别进入美国 NHPA §402／APA 审查和日本 EIA 意见程序；嘉手纳与普天间的噪音进入差止与期间损害请求；石垣部署争议进入住民投票条例请求和义务付诉讼；泡濑争议进入公共支出合法性／合理性审查。程序产出不能用统一胜败概括：Dugong 案形成审查标准与公开记录但最终维持 DoD 胜诉，EIA 意见进入记录不等于被采纳，噪音案确认部分既往损害而未形成运营禁令，石垣案因行政处分门槛被程序性驳回，泡濑第一波限制未来支出而第二波未获支持。27 条角色中 13 条为 registry actor、14 条为 provisional node；A002／A019 的 non-party、A011 的 requester、A020 的跨案异角均按案件读取。,,,data/interim/17_legal_policy_procedure_cases_v0.csv;data/interim/18_legal_policy_actor_roles_v0.csv,E3/E4,HR-014 human_checked,pass,pass,match,"{""cases"":6,""provisional_roles"":14,""registry_roles"":13,""roles"":27}","{""cases"":6,""provisional_roles"":14,""registry_roles"":13,""roles"":27}",safe,Do not collapse outcomes into a single win/loss scale.,,
RCA049,L136;P060,R05/R07,visualization_status,The heterogeneous package completes the Phase-1 action-grammar comparison while retaining the missing protest-timeline limitation.,R5/R7 异质行动包已完成 `TODO-VIS-04` 的一期回填：它把共同发声、诉讼、公投／司法转向、服务／慈善与行政关系放入同一行动语法比较，同时保留原始角色行与去重行动单元两个计数层。现阶段仍缺完整街头抗议时间线，所以该图回答“现有正式材料包含哪些行动／场域”，不回答各种行动在运动史中的真实频率。,,,outputs/R05_R07_heterogeneous_repertoire_v1/,formal reused layer,mechanical consistency check,pass,pass,not_applicable,,,safe,Completed package status and the remaining corpus limitation are now separated.,,
